2,SAST,"(UTC+02:00) Harare, Pretoria",South Africa Standard Time,"Africa/Blantyre,Africa/Bujumbura,Africa/Gaborone,Africa/Harare,Africa/Johannesburg,Africa/Kigali,Africa/Lubumbashi,Africa/Lusaka,Africa/Maputo,Africa/Maseru,Africa/Mbabane,Etc/GMT-2"
3,FDT,"(UTC+02:00) Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius",FLE Standard Time,"Europe/Helsinki,Europe/Kiev,Europe/Mariehamn,Europe/Riga,Europe/Sofia,Europe/Tallinn,Europe/Uzhgorod,Europe/Vilnius,Europe/Zaporozhye"
3,TDT,(UTC+03:00) Istanbul,Turkey Standard Time,Europe/Istanbul
3,JDT,(UTC+02:00) Jerusalem,Israel Standard Time,Asia/Jerusalem
2,LST,(UTC+02:00) Tripoli,Libya Standard Time,Africa/Tripoli
3,JST,(UTC+03:00) Amman,Jordan Standard Time,Asia/Amman
3,AST,(UTC+03:00) Baghdad,Arabic Standard Time,Asia/Baghdad
3,KST,"(UTC+03:00) Kaliningrad, Minsk",Kaliningrad Standard Time,"Europe/Kaliningrad,Europe/Minsk"
3,AST,"(UTC+03:00) Kuwait, Riyadh",Arab Standard Time,"Asia/Aden,Asia/Bahrain,Asia/Kuwait,Asia/Qatar,Asia/Riyadh"
3,EAST,(UTC+03:00) Nairobi,E. Africa Standard Time,"Africa/Addis_Ababa,Africa/Asmera,Africa/Dar_es_Salaam,Africa/Djibouti,Africa/Juba,Africa/Kampala,Africa/Khartoum,Africa/Mogadishu,Africa/Nairobi,Antarctica/Syowa,Etc/GMT-3,Indian/Antananarivo,Indian/Comoro,Indian/Mayotte"
3,MSK,"(UTC+03:00) Moscow, St. Petersburg, Volgograd",Moscow Standard Time,"Europe/Kirov,Europe/Moscow,Europe/Simferopol,Europe/Volgograd"
4,SAMT,"(UTC+04:00) Samara, Ulyanovsk, Saratov",Samara Time,"Europe/Astrakhan,Europe/Samara,Europe/Ulyanovsk"
4.5,IDT,(UTC+03:30) Tehran,Iran Standard Time,Asia/Tehran
4,AST,"(UTC+04:00) Abu Dhabi, Muscat",Arabian Standard Time,"Asia/Dubai,Asia/Muscat,Etc/GMT-4"
5,ADT,(UTC+04:00) Baku,Azerbaijan Standard Time,Asia/Baku
4,MST,(UTC+04:00) Port Louis,Mauritius Standard Time,"Indian/Mahe,Indian/Mauritius,Indian/Reunion"
4,GST,(UTC+04:00) Tbilisi,Georgian Standard Time,Asia/Tbilisi
4,CST,(UTC+04:00) Yerevan,Caucasus Standard Time,Asia/Yerevan
4.5,AST,(UTC+04:30) Kabul,Afghanistan Standard Time,Asia/Kabul
5,WAST,"(UTC+05:00) Ashgabat, Tashkent",West Asia Standard Time,"Antarctica/Mawson,Asia/Aqtau,Asia/Aqtobe,Asia/Ashgabat,Asia/Dushanbe,Asia/Oral,Asia/Samarkand,Asia/Tashkent,Etc/GMT-5,Indian/Kerguelen,Indian/Maldives"
5,PST,"(UTC+05:00) Islamabad, Karachi",Pakistan Standard Time,Asia/Karachi
5.5,IST,"(UTC+05:30) Chennai, Kolkata, Mumbai, New Delhi",India Standard Time,Asia/Kolkata
5.5,SLST,(UTC+05:30) Sri Jayawardenepura,Sri Lanka Standard Time,Asia/Colombo
5.75,NST,(UTC+05:45) Kathmandu,Nepal Standard Time,Asia/Katmandu
